entry,subentry,run,luminosityBlock,event,HLT_Dimuon10_Jpsi,HLT_Dimuon5_PsiPrime,HLT_Dimuon8_Jpsi,HLT_Dimuon9_PsiPrime,HLT_DoubleMu11_Acoplanarity03,HLT_DoubleMu3p5_LowMassNonResonant_Displaced,HLT_DoubleMu3p5_LowMass_Displaced,HLT_DoubleMu4_Acoplanarity03,HLT_DoubleMu5_IsoMu5,HLT_L2DoubleMu23_NoVertex,HLT_L2DoubleMu23_NoVertex_2Cha_Angle2p5,HLT_L2DoubleMu38_NoVertex_2Cha_Angle2p5,HLT_Mu13_Mu8,HLT_Mu13_Mu8_NoDZ,HLT_Mu17,HLT_Mu17_Mu8,HLT_Mu17_TkMu8,HLT_Mu17_TkMu8_NoDZ,HLT_Mu22_TkMu22,HLT_Mu22_TkMu8,HLT_Mu8,HLT_TripleMu5,PV_npvs,PV_x,PV_y,PV_z,nMuon,Muon_pt,Muon_eta,Muon_phi,Muon_mass,Muon_charge,Muon_pfRelIso03_all,Muon_pfRelIso04_all,Muon_tightId,Muon_softId,Muon_dxy,Muon_dxyErr,Muon_dz,Muon_dzErr,Muon_jetIdx,Muon_genPartIdx
14314,0,195013,540,790436564,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,26,0.071834885,0.058796655,-2.1351833,2,10.847173,1.2040457,-0.490868,0.10565837,1,3.967304,4.48919,True,True,0.009125114,0.0024388398,-0.0060477797,0.005144696,-1,-1
14314,1,195013,540,790436564,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,26,0.071834885,0.058796655,-2.1351833,2,16.99496,-0.07366897,2.403346,0.10565837,1,1.4042867,1.6210799,True,True,-0.011680505,0.0016217129,-0.00822848,0.0037236519,-1,-1
14315,0,195013,540,790507476,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19,0.07308517,0.06274102,10.530373,2,11.004418,1.0088695,-0.26334983,0.10565837,-1,1.3555202,1.5572244,True,True,0.0045372494,0.0019221597,0.095332004,0.0039424,-1,-1
14315,1,195013,540,790507476,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19,0.07308517,0.06274102,10.530373,2,15.117463,-0.8282009,1.7665862,0.10565837,-1,1.9584899,2.0694993,False,False,0.049725447,0.047322426,-1.2577659,0.72001696,-1,-1
14316,0,195013,540,790517836,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16,0.07481205,0.063662075,-0.7163152,3,13.307436,1.874756,0.5436683,0.10565837,1,1.8165278,1.870398,True,True,0.025562685,0.0016672746,-0.03656453,0.0056787813,-1,-1
14316,1,195013,540,790517836,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16,0.07481205,0.063662075,-0.7163152,3,8.21302,1.103605,-2.4102607,0.10565837,-1,2.4874554,2.6257975,True,True,0.0016731204,0.0038183501,-0.0024085403,0.0067030746,-1,-1
14316,2,195013,540,790517836,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,16,0.07481205,0.063662075,-0.7163152,3,5.3442187,1.8498921,0.5869052,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14317,0,195013,540,790507820,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0.07715215,0.062115412,0.8564168,3,15.71901,1.2660872,2.6478162,0.10565837,-1,0.7622489,0.80653423,True,True,0.0010839389,0.0015928436,0.005770333,0.003914929,-1,-1
14317,1,195013,540,790507820,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0.07715215,0.062115412,0.8564168,3,14.827755,0.98520154,-3.0905461,0.10565837,1,1.1765517,1.2500912,True,True,0.017360408,0.0018233181,-0.0077261245,0.004798123,-1,-1
14317,2,195013,540,790507820,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,15,0.07715215,0.062115412,0.8564168,3,7.9799237,0.99564207,-2.8932476,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14318,0,195013,540,790545676,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9,0.07386345,0.063966826,-0.5044098,2,11.256356,0.5460492,-0.36872652,0.10565837,1,1.1770126,1.4106737,True,True,-0.0042278697,0.0019876752,0.0068910983,0.002986189,-1,-1
14318,1,195013,540,790545676,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9,0.07386345,0.063966826,-0.5044098,2,17.24792,0.6321106,-0.45737037,0.10565837,-1,0.92063546,0.92063546,True,True,7.73249e-05,0.0016547679,0.0015342229,0.003002195,-1,-1
14319,0,195013,540,790603644,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10,0.07046862,0.064434506,-0.90411085,2,14.518543,2.25911,3.0132146,0.10565837,-1,0.0,0.0,True,True,0.0007800895,0.0020847593,-0.010212025,0.009180039,-1,-1
14319,1,195013,540,790603644,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10,0.07046862,0.064434506,-0.90411085,2,8.032906,1.4014902,1.6038251,0.10565837,1,0.0,0.219846,True,True,-0.00048475005,0.0022674333,0.0005481058,0.0060473736,-1,-1
14320,0,195013,540,790612068,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,18,0.072975695,0.060164362,-1.4692916,2,21.733501,-0.737879,-2.9024942,0.10565837,1,0.6831112,0.6831112,True,True,0.0016277786,0.0013254714,-0.004036775,0.0031864787,-1,-1
14320,1,195013,540,790612068,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,18,0.072975695,0.060164362,-1.4692916,2,16.087496,0.23970565,0.24620724,0.10565837,-1,1.8554118,1.8987124,True,True,0.020244814,0.0017043035,0.03182996,0.0043285084,-1,-1
14321,0,195013,540,790663756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,17,0.07106174,0.063361995,-3.905215,3,29.425198,0.08846254,0.76707584,0.10565837,1,1.0336772,1.1086932,True,True,-0.0012519454,0.0010376042,0.029790958,0.0038262024,-1,-1
14321,1,195013,540,790663756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,17,0.07106174,0.063361995,-3.905215,3,9.314151,2.3447301,-2.0499904,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14321,2,195013,540,790663756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,17,0.07106174,0.063361995,-3.905215,3,7.9437766,2.3390083,-2.0578408,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14322,0,195013,540,790667940,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,17,0.06842751,0.06484183,-3.606097,3,6.0083714,-2.3037677,1.4127287,0.10565837,1,0.0,0.20570034,True,True,-0.017079623,0.004203913,-0.4372604,0.016324326,-1,-1
14322,1,195013,540,790667940,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,17,0.06842751,0.06484183,-3.606097,3,5.0469723,0.8867937,1.6680168,0.10565837,-1,0.45709056,0.5983109,True,True,0.00038689177,0.002187368,-0.0036462417,0.0044378783,-1,-1
14322,2,195013,540,790667940,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,17,0.06842751,0.06484183,-3.606097,3,6.952336,0.76033396,1.620855,0.10565837,1,0.3318199,0.47553998,True,True,-5.8295747e-05,0.0033842144,-0.00518828,0.0036436175,-1,-1
14323,0,195013,540,790637716,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,18,0.07316434,0.060250375,-7.229084,2,36.456738,2.4003534,1.9792308,0.10565837,1,0.016040018,0.016040018,True,True,-0.0008255789,0.0011831155,0.010578223,0.007272051,-1,-1
14323,1,195013,540,790637716,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,18,0.07316434,0.060250375,-7.229084,2,35.14803,0.7771075,-1.1078075,0.10565837,-1,0.054294035,0.07370353,True,True,-0.0015974956,0.0011765765,0.00032776166,0.0026729302,-1,-1
14325,0,195013,540,790721820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19,0.077427156,0.06667878,4.7287035,6,21.27861,-1.7579652,-0.67337924,0.10565837,1,1.0892755,1.0892755,True,True,0.0002798353,0.002207896,0.007732378,0.0052488428,-1,-1
14325,1,195013,540,790721820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19,0.077427156,0.06667878,4.7287035,6,9.826374,-1.9637282,2.465151,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14325,2,195013,540,790721820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19,0.077427156,0.06667878,4.7287035,6,5.9264264,-2.0170438,2.5100226,0.10565837,-1,4.59729,5.018593,False,True,-999.0,-999.0,-999.0,-999.0,-1,-1
14325,3,195013,540,790721820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19,0.077427156,0.06667878,4.7287035,6,5.2127814,-1.8545113,2.5869765,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14325,4,195013,540,790721820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19,0.077427156,0.06667878,4.7287035,6,4.3475933,-2.2795568,2.8924718,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14325,5,195013,540,790721820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,19,0.077427156,0.06667878,4.7287035,6,3.446423,-2.1048434,2.92375,0.10565837,1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14326,0,195013,540,790781348,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20,0.07103763,0.06559021,-0.68212765,2,8.328001,-1.2197797,-3.1033957,0.10565837,-1,5.7375746,5.8317723,True,True,-0.0030659537,0.0031978318,0.005354523,0.005219143,-1,-1
14326,1,195013,540,790781348,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,20,0.07103763,0.06559021,-0.68212765,2,14.248534,-1.2638123,-3.0645957,0.10565837,1,3.301705,3.4085615,True,True,-0.0003109389,0.0013038107,0.00015898795,0.0044603813,-1,-1
14327,0,195013,540,790806196,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0.07283201,0.06270569,-3.95019,2,14.721775,0.6804524,1.2734158,0.10565837,-1,0.3485791,0.59271246,True,True,0.0056420015,0.0011980622,0.017482929,0.0022676045,-1,-1
14327,1,195013,540,790806196,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9,0.07283201,0.06270569,-3.95019,2,4.855695,-1.006976,-2.4651642,0.10565837,1,0.21647927,0.21647927,True,True,-0.007997572,0.0033259243,-0.034692626,0.006824683,-1,-1
14328,0,195013,540,790802444,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18,0.06894507,0.060230006,1.5984758,4,5.383162,-0.2371024,-0.7368439,0.10565837,1,2.3794246,8.0047245,True,True,0.003014068,0.0030809478,-0.0014406766,0.0022765105,-1,-1
14328,1,195013,540,790802444,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18,0.06894507,0.060230006,1.5984758,4,13.126252,-0.27864534,-0.36773887,0.10565837,-1,3.1061926,3.2026083,True,True,-0.0003844461,0.0016407475,-9.342519e-05,0.003499867,-1,-1
14328,2,195013,540,790802444,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18,0.06894507,0.060230006,1.5984758,4,9.358614,-0.24227384,-0.46958196,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14328,3,195013,540,790802444,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18,0.06894507,0.060230006,1.5984758,4,9.891359,-0.23448326,-0.38321894,0.10565837,-1,-999.0,-999.0,False,False,-999.0,-999.0,-999.0,-999.0,-1,-1
14330,0,195013,540,790845180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,22,0.07313658,0.06395572,7.589051,3,10.419135,1.5193175,1.4378287,0.10565837,1,3.4288807,3.6686616,True,True,-0.02362085,0.0025131674,-0.1411254,0.0047784313,-1,-1
